,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,10,3605,0.417342,14161,0.570387,7148,51,169.372549,0,0,0,0.686894,3.610022,0.014147,0.014147,3662,2.358820,0,0,0,2.886073,15.375877,0.982247,0.950349
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,100,3605,0.417342,14161,0.570387,7148,601,14.372712,0,0,0,0.816206,3.739334,0.166436,0.166389,3728,2.317060,0,0,0,3.712588,16.202392,0.992510,0.952863
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,200,3605,0.417342,14161,0.570387,7148,969,8.914345,0,0,0,0.850010,3.773138,0.268516,0.268441,3736,2.312099,0,0,0,4.153071,16.642875,0.993343,0.952394
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,300,3605,0.417342,14161,0.570387,7148,1232,7.011364,0,0,0,0.891138,3.814266,0.341470,0.341375,3745,2.306542,0,0,0,4.541414,17.031218,0.993620,0.950637
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,400,3605,0.417342,14161,0.570387,7148,1464,5.900273,0,0,0,0.940616,3.863744,0.405270,0.404933,3756,2.299787,0,0,0,4.916271,17.406075,0.993897,0.948385
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.030000,500,3605,0.417342,14161,0.570387,7148,1644,5.254258,0,0,0,0.999062,3.922190,0.454646,0.454017,3774,2.288818,0,0,0,5.248069,17.737873,0.994452,0.944913
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,5,3605,0.417342,14161,0.570387,7148,4,2159.500000,0,0,0,0.592059,3.515187,0.001110,0.001110,3503,2.465886,0,0,0,2.403360,14.893164,0.951456,0.932572
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,10,3605,0.417342,14161,0.570387,7148,24,359.916667,0,0,0,0.647806,3.570934,0.006657,0.006657,3596,2.402113,0,0,0,2.946934,15.436738,0.972261,0.948323
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,100,3605,0.417342,14161,0.570387,7148,447,19.324385,0,0,0,0.792207,3.715335,0.123717,0.123683,3665,2.356889,0,0,0,3.728767,16.218571,0.984743,0.954301
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,200,3605,0.417342,14161,0.570387,7148,778,11.102828,0,0,0,0.865271,3.788399,0.215534,0.215474,3678,2.348559,0,0,0,4.251126,16.740930,0.986130,0.953594
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,300,3605,0.417342,14161,0.570387,7148,1037,8.329797,0,0,0,0.906467,3.829595,0.287379,0.287299,3686,2.343462,0,0,0,4.712437,17.202241,0.988072,0.955216
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,400,3605,0.417342,14161,0.570387,7148,1254,6.888357,0,0,0,0.931546,3.854674,0.347018,0.346729,3698,2.335857,0,0,0,5.021739,17.511543,0.988627,0.953196
,CA-HepTh_component,8638,24827,0.000333,3605,46.000000,0.040000,500,3605,0.417342,14161,0.570387,7148,1440,5.998611,0,0,0,0.982717,3.905845,0.398058,0.397507,3717,2.323917,0,0,0,5.320599,17.810403,0.989459,0.949933
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,5,4825,0.430650,63548,0.540149,39994,249,44.995984,0,0,0,1.112829,8.424665,0.047668,0.047481,5022,2.230984,0,0,0,3.319419,23.186142,0.971399,0.908333
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,10,4825,0.430650,63548,0.540149,39994,389,28.802057,0,0,0,0.982831,8.294667,0.076062,0.075717,5181,2.162517,0,0,0,3.704210,23.570933,0.983627,0.902281
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,100,4825,0.430650,63548,0.540149,39994,1356,8.262537,0,0,0,1.106323,8.418159,0.273782,0.271811,5306,2.111572,0,0,0,4.672581,24.539304,0.988808,0.890112
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,200,4825,0.430650,63548,0.540149,39994,1805,6.207202,0,0,0,1.153331,8.465167,0.366425,0.363636,5353,2.093032,0,0,0,5.160928,25.027651,0.989637,0.883768
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,300,4825,0.430650,63548,0.540149,39994,2049,5.468033,0,0,0,1.196532,8.508368,0.416788,0.413531,5442,2.058802,0,0,0,5.591035,25.457758,0.990052,0.870128
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,400,4825,0.430650,63548,0.540149,39994,2271,4.933509,0,0,0,1.240157,8.551993,0.462798,0.459182,5515,2.031550,0,0,0,6.072613,25.939336,0.990674,0.859712
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.010000,500,4825,0.430650,63548,0.540149,39994,2431,4.608803,0,0,0,1.290800,8.602636,0.495130,0.490857,5602,2.000000,0,0,0,6.631696,26.498419,0.991295,0.847449
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,5,4825,0.430650,63548,0.540149,39994,22,509.272727,0,0,0,0.875789,8.187625,0.004560,0.004560,4721,2.373226,0,0,0,3.057532,22.924255,0.947150,0.918408
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,10,4825,0.430650,63548,0.540149,39994,60,186.733333,0,0,0,0.975052,8.286888,0.012435,0.012435,4866,2.302507,0,0,0,3.782229,23.648952,0.964767,0.924345
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,100,4825,0.430650,63548,0.540149,39994,607,18.457990,0,0,0,1.135843,8.447679,0.125803,0.125803,4965,2.256596,0,0,0,4.741249,24.607972,0.975130,0.925270
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,200,4825,0.430650,63548,0.540149,39994,1022,10.962818,0,0,0,1.169494,8.481330,0.211813,0.211813,4979,2.250251,0,0,0,5.232166,25.098889,0.976166,0.924617
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,300,4825,0.430650,63548,0.540149,39994,1283,8.732658,0,0,0,1.230980,8.542816,0.265699,0.265644,5007,2.237667,0,0,0,5.703380,25.570103,0.977202,0.921438
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,400,4825,0.430650,63548,0.540149,39994,1496,7.489305,0,0,0,1.259111,8.570947,0.309845,0.309780,5047,2.219933,0,0,0,6.195517,26.062240,0.978031,0.915777
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.020000,500,4825,0.430650,63548,0.540149,39994,1664,6.733173,0,0,0,1.278853,8.590689,0.343834,0.343478,5097,2.198156,0,0,0,6.854455,26.721178,0.978653,0.908077
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,5,4825,0.430650,63548,0.540149,39994,7,1600.571429,0,0,0,0.879528,8.191364,0.001451,0.001451,4556,2.459175,0,0,0,3.097220,22.963943,0.922902,0.903612
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,10,4825,0.430650,63548,0.540149,39994,24,466.833333,0,0,0,1.011994,8.323830,0.004974,0.004974,4721,2.373226,0,0,0,3.726888,23.593611,0.948601,0.921111
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,100,4825,0.430650,63548,0.540149,39994,383,29.253264,0,0,0,1.127751,8.439587,0.079378,0.079378,4814,2.327378,0,0,0,4.592958,24.459681,0.960207,0.925489
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,200,4825,0.430650,63548,0.540149,39994,722,15.518006,0,0,0,1.171561,8.483397,0.149637,0.149637,4825,2.322073,0,0,0,5.087159,24.953882,0.961244,0.925379
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,300,4825,0.430650,63548,0.540149,39994,966,11.598344,0,0,0,1.210754,8.522590,0.200000,0.199959,4844,2.312964,0,0,0,5.561106,25.427829,0.962694,0.924562
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,400,4825,0.430650,63548,0.540149,39994,1162,9.641997,0,0,0,1.267581,8.579417,0.240622,0.240572,4864,2.303454,0,0,0,5.952986,25.819709,0.963523,0.922421
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.030000,500,4825,0.430650,63548,0.540149,39994,1328,8.436747,0,0,0,1.405219,8.717055,0.274197,0.273913,4901,2.286064,0,0,0,6.273218,26.139941,0.966010,0.920237
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,5,4825,0.430650,63548,0.540149,39994,4,2801.000000,0,0,0,0.986802,8.298638,0.000829,0.000829,4407,2.542319,0,0,0,2.998531,22.865254,0.897202,0.882929
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,10,4825,0.430650,63548,0.540149,39994,9,1244.888889,0,0,0,1.111273,8.423109,0.001865,0.001865,4594,2.438833,0,0,0,3.627576,23.494299,0.932228,0.914042
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,100,4825,0.430650,63548,0.540149,39994,275,40.741818,0,0,0,1.289290,8.601126,0.056995,0.056995,4693,2.387385,0,0,0,4.496309,24.363032,0.946736,0.922828
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,200,4825,0.430650,63548,0.540149,39994,552,20.297101,0,0,0,1.327892,8.639728,0.114404,0.114404,4708,2.379779,0,0,0,4.930211,24.796934,0.949430,0.925081
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,300,4825,0.430650,63548,0.540149,39994,743,15.079408,0,0,0,1.367811,8.679647,0.153782,0.153751,4724,2.371719,0,0,0,5.383378,25.250101,0.951088,0.925202
,CA-HepPh_component,11204,117649,0.000937,4825,184.000000,0.040000,400,4825,0.430650,63548,0.540149,39994,947,11.831045,0,0,0,1.410414,8.722250,0.196062,0.196022,4734,2.366709,0,0,0,5.939196,25.805919,0.951710,0.924502
