,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.030000,400,1.762486,12.904469,0.146411,0.146411,9.733943,42.464131,0.964056,0.947477
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.030000,500,1.805543,12.947526,0.176452,0.176378,10.186319,42.916507,0.965005,0.947526
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.040000,5,1.258795,12.400778,0.000105,0.000105,5.573403,38.303591,0.912933,0.906721
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.040000,10,1.385591,12.527574,0.000422,0.000422,6.676888,39.407076,0.933066,0.924491
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.040000,100,1.623029,12.765012,0.023084,0.023084,8.246780,40.976968,0.948983,0.938693
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.040000,200,1.651973,12.793956,0.054601,0.054601,8.865953,41.596141,0.949931,0.939435
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.040000,300,1.710746,12.852729,0.081691,0.081691,9.463476,42.193664,0.950564,0.939767
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.040000,400,1.751911,12.893894,0.109729,0.109729,10.014179,42.744367,0.951829,0.940625
,CA-AstroPh_component,17903,197031,0.000615,9487,635.000000,0.040000,500,1.790375,12.932358,0.136503,0.136445,10.368094,43.098282,0.952883,0.940883
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.010000,5,2.137558,9.950560,0.028362,0.028293,7.381470,45.167564,0.991515,0.897517
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.010000,10,1.898836,9.711838,0.049518,0.049328,7.977071,45.763165,0.994304,0.879860
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.010000,100,2.068076,9.881078,0.194118,0.193086,10.010105,47.796199,0.997559,0.866781
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.010000,200,2.134201,9.947203,0.274207,0.272717,10.728526,48.514620,0.997675,0.863568
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.010000,300,2.370648,10.183650,0.329652,0.327861,11.221967,49.008061,0.997791,0.860724
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.010000,400,2.380675,10.193677,0.375683,0.373598,11.776296,49.562390,0.997908,0.856274
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.010000,500,2.381672,10.194674,0.413809,0.411513,12.346110,50.132204,0.998024,0.851786
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.020000,5,1.467396,9.280398,0.003022,0.003022,7.092761,44.878855,0.978961,0.936090
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.020000,10,1.673273,9.486275,0.006509,0.006509,8.365684,46.151778,0.986168,0.928634
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.020000,100,1.957498,9.770500,0.085784,0.085784,9.664644,47.450738,0.992328,0.921922
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.020000,200,2.126343,9.939345,0.145647,0.145647,10.294999,48.081093,0.992909,0.920871
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.020000,300,2.090545,9.903547,0.192026,0.192026,10.772337,48.558431,0.993258,0.919509
,CA-CondMat_component,21363,91342,0.000200,8603,395.000000,0.020000,400,2.148739,9.961741,0.232477,0.232450,11.260543,49.046637,0.993491,0.917552
