,Graph,Nodes,Edges,Density,Core Size,Exact Runtime,Threshold,Generator Size,Exact Core Nodes,Exact Core Relative Nodes,Exact Core Edges,Exact Core Relative Edges,Exact Core Out Edges,Tree Core Nodes,Tree Core Relative Nodes,Tree Core Edges,Tree Core Relative Edges,Tree Core Out Edges,Tree Core Runtime,Tree Runtime,Tree Recall,Tree Similarity,Outerplanar Core Nodes,Outerplanar Core Relative Nodes,Outerplanar Core Edges,Outerplanar Core Relative Edges,Outerplanar Core Out Edges,Outerplanar Core Runtime,Outerplanar Runtime,Outerplanar Recall,Outerplanar Similarity,Avg. Component Number,Std. Component Number,Avg. Biggest Component,Std. Biggest Component,Avg. Face Number,Std. Face Number
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.020000,100,94953,0.371978,1070885,0.551455,356017,203,1257.463054,0,0,0,24.849612,641.687703,0.002106,0.002106,78635,3.246201,0,0,0,33.519553,346.787341,0.494624,0.370915,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.020000,200,94953,0.371978,1070885,0.551455,356017,371,688.045822,0,0,0,24.923002,641.761093,0.003676,0.003675,82492,3.094421,0,0,0,35.860850,349.128638,0.505334,0.370634,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.020000,300,94953,0.371978,1070885,0.551455,356017,552,462.436594,0,0,0,24.986431,641.824522,0.005108,0.005104,83489,3.057469,0,0,0,37.837919,351.105707,0.509062,0.371523,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.020000,400,94953,0.371978,1070885,0.551455,356017,737,346.356852,0,0,0,25.161832,641.999923,0.006961,0.006956,84574,3.018244,0,0,0,39.077786,352.345574,0.514118,0.373476,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.020000,500,94953,0.371978,1070885,0.551455,356017,850,300.311765,0,0,0,25.100115,641.938206,0.007993,0.007986,85985,2.968715,0,0,0,40.030380,353.298168,0.517361,0.372687,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.030000,5,94953,0.371978,1070885,0.551455,356017,9,28362.777778,0,0,0,21.889267,638.727358,0.000095,0.000095,53089,4.808247,0,0,0,21.921210,335.188998,0.337609,0.276389,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.030000,10,94953,0.371978,1070885,0.551455,356017,18,14181.388889,0,0,0,22.654589,639.492680,0.000190,0.000190,63070,4.047328,0,0,0,25.804350,339.072138,0.386339,0.302327,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.030000,100,94953,0.371978,1070885,0.551455,356017,125,2042.120000,0,0,0,24.818481,641.656572,0.001285,0.001285,70685,3.611304,0,0,0,33.312356,346.580144,0.439270,0.336566,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.030000,200,94953,0.371978,1070885,0.551455,356017,262,974.293893,0,0,0,24.922798,641.760889,0.002549,0.002548,74800,3.412634,0,0,0,35.695925,348.963713,0.452487,0.338873,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.030000,300,94953,0.371978,1070885,0.551455,356017,421,606.330166,0,0,0,24.979460,641.817551,0.003791,0.003789,75686,3.372685,0,0,0,37.606188,350.873976,0.456226,0.340248,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.030000,400,94953,0.371978,1070885,0.551455,356017,537,475.353818,0,0,0,25.038587,641.876678,0.004918,0.004915,76985,3.315776,0,0,0,38.969625,352.237413,0.461376,0.341913,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.030000,500,94953,0.371978,1070885,0.551455,356017,636,401.360063,0,0,0,25.049191,641.887282,0.005803,0.005798,78567,3.249010,0,0,0,40.021618,353.289406,0.464356,0.340668,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.040000,5,94953,0.371978,1070885,0.551455,356017,7,36466.428571,0,0,0,21.795210,638.633301,0.000074,0.000074,45884,5.563268,0,0,0,21.944478,335.212266,0.297716,0.251128,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.040000,10,94953,0.371978,1070885,0.551455,356017,15,17017.666667,0,0,0,22.615378,639.453469,0.000158,0.000158,56691,4.502743,0,0,0,25.808634,339.076422,0.346951,0.277540,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.040000,100,94953,0.371978,1070885,0.551455,356017,95,2687.000000,0,0,0,24.784016,641.622107,0.000969,0.000969,64490,3.958211,0,0,0,33.326939,346.594727,0.397249,0.309884,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.040000,200,94953,0.371978,1070885,0.551455,356017,208,1227.235577,0,0,0,24.905245,641.743336,0.001990,0.001990,68868,3.706584,0,0,0,35.694447,348.962235,0.412172,0.313890,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.040000,300,94953,0.371978,1070885,0.551455,356017,356,717.036517,0,0,0,24.969871,641.807962,0.003149,0.003147,69961,3.648676,0,0,0,37.658948,350.926736,0.416511,0.315471,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.040000,400,94953,0.371978,1070885,0.551455,356017,449,568.518931,0,0,0,25.041155,641.879246,0.004065,0.004062,71359,3.577194,0,0,0,39.043738,352.311526,0.421408,0.316822,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
,web-Stanford_component,255265,1941926,0.000030,94953,79827.000000,0.040000,500,94953,0.371978,1070885,0.551455,356017,534,478.024345,0,0,0,25.060091,641.898182,0.004802,0.004798,73060,3.493909,0,0,0,40.075871,353.343659,0.424083,0.315222,135754.420000,370.271240,259.950000,117.471112,220.470000,114.226291
